,index,Voltage_measured,Current_measured,Temperature_measured,Current_charge,Voltage_charge,Time,Capacity,TTD,Start_time
0,0,4.188108651,0.000130667,23.81952025,0.0006,0.0,0.0,1.855004521,3434.891,3434.891
1,0,4.188108651,0.000130667,23.81952025,0.0006,0.0,0.0,1.855004521,3434.891,3434.891
2,0,4.188108651,0.000130667,23.81952025,0.0006,0.0,0.0,1.855004521,3434.891,3434.891
3,0,4.188108651,0.000130667,23.81952025,0.0006,0.0,0.0,1.855004521,3434.891,3434.891
4,0,4.188108651,0.000130667,23.81952025,0.0006,0.0,0.0,1.855004521,3434.891,3434.891
5,0,4.188108651,0.000130667,23.81952025,0.0006,0.0,0.0,1.855004521,3434.891,3434.891
6,0,4.188108651,0.000130667,23.81952025,0.0006,0.0,0.0,1.855004521,3434.891,3434.891
7,0,4.188108651,0.000130667,23.81952025,0.0006,0.0,0.0,1.855004521,3434.891,3434.891
8,0,4.188108651,0.000130667,23.81952025,0.0006,0.0,0.0,1.855004521,3434.891,3434.891
9,0,4.188108651,0.000130667,23.81952025,0.0006,0.0,0.0,1.855004521,3434.891,3434.891
10,0,4.188108651,0.000130667,23.81952025,0.0006,0.0,0.0,1.855004521,3434.891,3434.891
11,1,4.188195943,0.001459081,23.82880716,0.0006,4.203,9.422,1.855004521,3425.469,3434.891
12,2,3.977432056,-2.005671955,23.84494449,1.9988,3.029,19.578,1.855004521,3415.313,3434.891
13,3,3.961974218,-2.012205795,23.92557733,1.9988,3.026,29.016,1.855004521,3405.875,3434.891
14,4,3.949835235,-2.012004641,24.01062793,1.9988,3.015,38.485,1.855004521,3396.406,3434.891
15,5,3.939550065,-2.007285098,24.10319196,1.9988,3.005,47.906,1.855004521,3386.985,3434.891
16,6,3.930453667,-2.009340458,24.19162073,1.9988,2.997,57.328,1.855004521,3377.563,3434.891
17,7,3.922180353,-2.010267259,24.29434353,1.999,2.987,66.75,1.855004521,3368.141,3434.891
18,8,3.9146489,-2.010024055,24.38261558,1.9988,2.979,76.156,1.855004521,3358.735,3434.891
19,9,3.907584709,-2.008670773,24.47631464,1.9988,2.974,85.594,1.855004521,3349.297,3434.891
20,10,3.901267803,-2.010623719,24.57457824,1.999,2.965,95.031,1.855004521,3339.86,3434.891
21,11,3.895214648,-2.009617297,24.66737223,1.9988,2.96,104.391,1.855004521,3330.5,3434.891
22,12,3.889690143,-2.007814322,24.76058265,1.9988,2.956,113.766,1.855004521,3321.125,3434.891
23,13,3.884241778,-2.011540424,24.85949786,1.9988,2.953,123.125,1.855004521,3311.766,3434.891
24,14,3.879127143,-2.008096145,24.96219948,1.9988,2.949,132.531,1.855004521,3302.36,3434.891
25,15,3.8745328,-2.011376289,25.0478665,1.9988,2.945,141.938,1.855004521,3292.953,3434.891
26,16,3.869965576,-2.009756653,25.15063116,1.999,2.943,151.328,1.855004521,3283.563,3434.891
27,17,3.865586181,-2.012294814,25.24596025,1.9988,2.939,160.735,1.855004521,3274.156,3434.891
28,18,3.861323297,-2.007549148,25.3346064,1.999,2.937,170.125,1.855004521,3264.766,3434.891
29,19,3.857541912,-2.008059469,25.41616898,1.9988,2.933,179.531,1.855004521,3255.36,3434.891
30,20,3.853373029,-2.009811169,25.51811964,1.9988,2.93,188.938,1.855004521,3245.953,3434.891
31,21,3.849750868,-2.010164079,25.60406455,1.9988,2.927,198.344,1.855004521,3236.547,3434.891
32,22,3.845967646,-2.008694841,25.70591743,1.9988,2.924,207.719,1.855004521,3227.172,3434.891
33,23,3.842361488,-2.007646921,25.78674132,1.999,2.922,217.172,1.855004521,3217.719,3434.891
34,24,3.83913536,-2.011691481,25.87705688,1.9988,2.919,226.578,1.855004521,3208.313,3434.891
35,25,3.835813026,-2.007390677,25.96647181,1.9988,2.916,235.938,1.855004521,3198.953,3434.891
36,26,3.832241611,-2.01168545,26.05068364,1.9988,2.913,245.36,1.855004521,3189.531,3434.891
37,27,3.829291625,-2.008501269,26.13429632,1.9988,2.91,254.828,1.855004521,3180.063,3434.891
38,28,3.826212051,-2.007782687,26.2209175,1.9988,2.907,264.188,1.855004521,3170.703,3434.891
39,29,3.823183538,-2.006959395,26.29741166,1.9988,2.905,273.594,1.855004521,3161.297,3434.891
40,30,3.820277221,-2.007970324,26.38966022,1.9988,2.902,283.0,1.855004521,3151.891,3434.891
41,31,3.817240045,-2.008993992,26.46686876,1.9988,2.9,292.406,1.855004521,3142.485,3434.891
42,32,3.814633648,-2.006583139,26.55704766,1.9988,2.897,301.86,1.855004521,3133.031,3434.891
43,33,3.811729657,-2.009970281,26.63549868,1.9988,2.895,311.219,1.855004521,3123.672,3434.891
44,34,3.809130725,-2.011557314,26.71211053,1.9988,2.892,320.563,1.855004521,3114.328,3434.891
45,35,3.806442978,-2.008789916,26.79618176,1.999,2.89,329.953,1.855004521,3104.938,3434.891
46,36,3.80372699,-2.008357811,26.87644361,1.999,2.887,339.328,1.855004521,3095.563,3434.891
47,37,3.800884192,-2.010552309,26.95898341,1.999,2.885,348.688,1.855004521,3086.203,3434.891
